Laptop Brand,RAM_GB,Storage,Extracted Processor,Conditions,Prices,Regions
HP,4.0,HDD,I5,Used,1000,Ashanti
HP,8.0,HDD,I5,Used,3500,Greater Accra
MacBook,16.0,SSD,I7,Used,5500,Greater Accra
Dell,8.0,SSD,I5,Brand New,7299,Greater Accra
HP,8.0,SSD,I3,Used,2600,Greater Accra
Dell,8.0,SSD,I5,Used,2950,Greater Accra
Dell,16.0,SSD,I5,Used,10000,Greater Accra
HP,8.0,SSD,I5,Used,4799,Greater Accra
Dell,16.0,SSD,I7,Brand New,10999,Greater Accra
Dell,8.0,SSD,I5,Used,4799,Greater Accra
Lenovo,8.0,HDD,I5,Used,1900,Greater Accra
Lenovo,8.0,HDD,I3,Used,4000,Greater Accra
Dell,8.0,SSD,I5,Used,3200,Greater Accra
Lenovo,8.0,SSD,I5,Used,4500,Greater Accra
HP,16.0,SSD,I7,Used,4150,Central Region
HP,4.0,HDD,I3,Brand New,6799,Greater Accra
Lenovo,4.0,HDD,I3,Used,800,Central Region
Dell,8.0,SSD,I7,Used,6300,Greater Accra
Lenovo,8.0,HDD,I5,Used,1800,Greater Accra
Lenovo,8.0,SSD,I5,Used,2750,Greater Accra
Lenovo,16.0,SSD,I7,Used,5000,Greater Accra
HP,16.0,SSD,I5,Brand New,9700,Greater Accra
Dell,8.0,SSD,I5,Brand New,6050,Greater Accra
HP,4.0,HDD,I5,Used,2000,Greater Accra
HP,16.0,SSD,I7,Brand New,10800,Greater Accra
Lenovo,8.0,SSD,I5,Used,3000,Greater Accra
Dell,4.0,SSD,I5,Used,2100,Western Region
Dell,8.0,SSD,I5,Used,2850,Greater Accra
Dell,16.0,SSD,I5,Brand New,11300,Ashanti
Acer,4.0,HDD,I3,Used,1450,Ashanti
HP,8.0,HDD,I5,Used,1250,Greater Accra
Dell,8.0,SSD,I7,Brand New,3500,Greater Accra
HP,8.0,SSD,I5,Brand New,3600,Ashanti
HP,16.0,SSD,I5,Brand New,10000,Greater Accra
Lenovo,8.0,SSD,I5,Used,1600,Greater Accra
HP,8.0,HDD,I5,Used,2550,Brong Ahafo
Dell,16.0,SSD,I5,Brand New,12000,Ashanti
Asus,4.0,HDD,I3,Used,1100,Ashanti
MacBook,32.0,SSD,I5,Used,9399,Greater Accra
HP,12.0,SSD,I7,Used,4200,Greater Accra
HP,4.0,HDD,I3,Used,2350,Greater Accra
MacBook,8.0,SSD,I5,Used,8800,Greater Accra
HP,8.0,SSD,I5,Used,2799,Greater Accra
Lenovo,8.0,SSD,I5,Used,1950,Ashanti
Dell,16.0,HDD,I7,Used,2550,Greater Accra
HP,8.0,SSD,I7,Unknown,3400,Ashanti
HP,8.0,SSD,I7,Used,5500,Greater Accra
HP,8.0,SSD,I5,Brand New,9850,Greater Accra
Dell,8.0,HDD,I7,Used,1350,Greater Accra
Dell,4.0,HDD,I5,Used,2250,Western Region
Dell,16.0,SSD,I5,Brand New,7000,Greater Accra
HP,256.0,SSD,I5,Used,2500,Greater Accra
HP,16.0,SSD,I7,Brand New,10500,Ashanti
HP,8.0,SSD,I7,Brand New,4700,Greater Accra
Dell,8.0,HDD,I5,Used,3200,Greater Accra
Lenovo,8.0,SSD,I5,Used,2800,Ashanti
Dell,4.0,HDD,I5,Used,900,Greater Accra
Dell,4.0,HDD,I3,Used,2150,Greater Accra
HP,8.0,SSD,I5,Used,4000,Greater Accra
Dell,16.0,SSD,I5,Used,1600,Greater Accra
HP,8.0,HDD,I5,Used,2590,Greater Accra
Lenovo,4.0,HDD,I5,Unknown,1800,Greater Accra
HP,8.0,SSD,I5,Used,2600,Greater Accra
Dell,8.0,HDD,I5,Brand New,7950,Ashanti
